ref_position,max_position,min_position,opt_position,opt_velocity,opt_acceleration,opt_jerk,time,
0,30,0,4.64825e-17,18,3.67119e-17,-2,0,
1.5,33,0,3.59733,17.96,-0.4,-2,0.2,
3,36,0,7.17867,17.84,-0.8,-2,0.4,
4.5,39,0,10.728,17.64,-1.2,-2,0.6,
6,42,0,14.2293,17.36,-1.6,-2,0.8,
7.5,45,0,17.6667,17,-2,-2,1,
9,48,0,21.024,16.56,-2.4,1.08829,1.2,
10.5,51,0,24.2895,16.1018,-2.18234,2,1.4,
12,54,0,27.4688,15.7053,-1.78234,2,1.6,
13.5,57,0,30.5769,15.3888,-1.38234,2,1.8,
15,60,0,33.6297,15.1524,-0.982342,2,2,
16.5,63,0,36.6432,14.9959,-0.582342,2,2.2,
18,66,0,39.6334,14.9194,-0.182342,2,2.4,
19.5,69,0,42.6163,14.923,0.217658,-0.234189,2.6,
21,72,0,45.6049,14.9618,0.17082,-0.527864,2.8,
22.5,75,0,48.6,14.9854,0.0652476,-0.201626,3,
24,78,0,51.5981,14.9944,0.0249224,-0.0770143,3.2,
25.5,81,0,54.5974,14.9979,0.00951949,-0.0294169,3.4,
27,84,0,57.5971,14.9992,0.00363612,-0.0112362,3.6,
28.5,87,0,60.597,14.9997,0.00138888,-0.00429186,3.8,
30,90,0,63.597,14.9999,0.000530503,-0.00163935,4,
31.5,93,0,66.597,15,0.000202634,-0.000626174,4.2,
33,96,0,69.5969,15,7.73994e-05,-0.000239177,4.4,
34.5,99,0,72.5969,15,2.95639e-05,-9.13576e-05,4.6,
36,102,0,75.5969,15,1.12924e-05,-3.48955e-05,4.8,
37.5,105,0,78.5969,15,4.31332e-06,-1.33289e-05,5,
39,108,0,81.5969,15,1.64754e-06,-5.09118e-06,5.2,
40.5,111,0,84.5969,15,6.29305e-07,-1.94466e-06,5.4,
42,114,0,87.5969,15,2.40373e-07,-7.42794e-07,5.6,
43.5,117,0,90.5969,15,9.18143e-08,-2.83722e-07,5.8,
45,120,0,93.5969,15,3.507e-08,-1.08372e-07,6,
46.5,123,0,96.5969,15,1.33955e-08,-4.13945e-08,6.2,
48,126,0,99.5969,15,5.11664e-09,-1.58113e-08,6.4,
49.5,129,0,102.597,15,1.95438e-09,-6.03936e-09,6.6,
51,132,0,105.597,15,7.46511e-10,-2.30684e-09,6.8,
52.5,135,0,108.597,15,2.85143e-10,-8.81137e-10,7,
54,138,0,111.597,15,1.08916e-10,-3.36555e-10,7.2,
55.5,141,0,114.597,15,4.1605e-11,-1.28553e-10,7.4,
57,144,0,117.597,15,1.58945e-11,-4.91106e-11,7.6,
58.5,147,0,120.597,15,6.07236e-12,-1.8758e-11,7.8,
60,150,0,123.597,15,2.32077e-12,-7.15965e-12,8,
61.5,153,0,126.597,15,8.88841e-13,-2.7344e-12,8.2,
63,156,0,129.597,15,3.41962e-13,-1.04327e-12,8.4,
64.5,159,0,132.597,15,1.33308e-13,-4.03375e-13,8.6,
66,162,0,135.597,15,5.26327e-14,-1.54601e-13,8.8,
67.5,165,0,138.597,15,2.17124e-14,-5.47893e-14,9,
69,168,0,141.597,15,1.07545e-14,-3.06786e-14,9.2,
70.5,171,0,144.597,15,4.6188e-15,-1.66766e-14,9.4,
72,174,0,147.597,15,1.28348e-15,9.92981e-14,9.6,
73.5,177,0,150.597,15,2.11431e-14,-1.05715e-13,9.8,
75,180,0,153.597,15,9.60174e-20,-1.05715e-13,10,
